"","GH","GA","scorer","time","scoring","game","league","covid","cens"
"1",0,1,"Maxi Romero",52,"Vélez Sarsfield","Tigre v. Vélez Sarsfield 0:3","Argentina","Antes",1
"4",1,0,"Gonzalo Bettini",13,"Banfield","Banfield v. Belgrano de Córdoba 2:1","Argentina","Antes",0
"7",0,1,"Nicolás Ibáñez",4,"Gimnasia de La Plata","Defensa y Justicia v. Gimnasia de La Plata 4:4","Argentina","Antes",1
"15",0,1,"Washington Camacho",84,"Rosario Central","Colón de Santa Fe v. Rosario Central 1:1","Argentina","Antes",1
"17",1,0,"Junior Arias",52,"Talleres de Córdoba","Talleres de Córdoba v. Lanús 5:2","Argentina","Antes",0
"24",0,1,"Ramón Ábila",18,"Huracán","Independiente v. Huracán 3:1","Argentina","Antes",1
"28",1,0,"Facundo Barceló",3,"San Martín de San Juan","San Martín de San Juan v. Patronato de Paraná 2:0","Argentina","Antes",0
"30",1,0,"Franco Sbuttoni",17,"Atlético Tucumán","Atlético Tucumán v. Godoy Cruz 2:1","Argentina","Antes",0
"33",0,1,"Lisandro López",13,"Racing Club","San Lorenzo v. Racing Club 1:1","Argentina","Antes",1
"35",1,0,"Darío Benedetto",8,"Boca Juniors","Boca Juniors v. Olimpo de Bahía Blanca 3:0","Argentina","Antes",0
"38",0,1,"Ignacio Scocco",32,"River Plate","Temperley v. River Plate 0:1","Argentina","Antes",1
"39",0,1,"Diego Zabala",52,"Unión de Santa Fe","Newell's Old Boys v. Unión de Santa Fe 1:1","Argentina","Antes",1
"41",0,1,"Rodrigo Contreras",39,"Arsenal de Sarandí","Estudiantes v. Arsenal de Sarandí 2:1","Argentina","Antes",1
"44",1,0,"Nicolás González",27,"Argentinos Juniors","Argentinos Juniors v. Chacarita Juniors 1:0","Argentina","Antes",0
"45",1,0,"Maxi Romero",43,"Vélez Sarsfield","Vélez Sarsfield v. Atlético Tucumán 2:0","Argentina","Antes",0
"47",0,1,"Tomás Chancalay",68,"Colón de Santa Fe","Arsenal de Sarandí v. Colón de Santa Fe 0:1","Argentina","Antes",1
"48",0,1,"Leandro Fernández",34,"Independiente","Olimpo de Bahía Blanca v. Independiente 1:1","Argentina","Antes",1
"50",1,0,"Epifanio García",66,"Belgrano de Córdoba","Belgrano de Córdoba v. San Martín de San Juan 1:0","Argentina","Antes",0
"51",0,1,"Fernando Márquez",83,"Defensa y Justicia","Estudiantes v. Defensa y Justicia 0:1","Argentina","Antes",1
"52",0,1,"Braian Romero",12,"Argentinos Juniors","Patronato de Paraná v. Argentinos Juniors 2:1","Argentina","Antes",1
"55",1,0,"Enrique Triverio",45,"Racing Club","Racing Club v. Temperley 4:1","Argentina","Antes",0
"60",0,1,"Carlos Rodríguez",66,"Tigre","Chacarita Juniors v. Tigre 1:1","Argentina","Antes",1
"62",1,0,"Juan Garro",29,"Godoy Cruz","Godoy Cruz v. Talleres de Córdoba 2:1","Argentina","Antes",0
"65",NA,NA,NA,90,NA,"Rosario Central v. San Lorenzo 0:0","Argentina","Antes",0
"66",0,1,"Renato Civelli",2,"Banfield","River Plate v. Banfield 3:1","Argentina","Antes",1
"70",0,1,"Darío Benedetto",84,"Boca Juniors","Lanús v. Boca Juniors 0:1","Argentina","Antes",1
"71",1,0,"Franco Soldano",21,"Unión de Santa Fe","Unión de Santa Fe v. Gimnasia de La Plata 1:0","Argentina","Antes",0
"72",1,0,"Ignacio Pussetto",45,"Huracán","Huracán v. Newell's Old Boys 1:0","Argentina","Antes",0
"73",0,1,"Martín Rivero",16,"Patronato de Paraná","Tigre v. Patronato de Paraná 1:3","Argentina","Antes",1
"77",NA,NA,NA,90,NA,"Colón de Santa Fe v. Estudiantes 0:0","Argentina","Antes",0
"78",1,0,"Nicolás González",18,"Argentinos Juniors","Argentinos Juniors v. Belgrano de Córdoba 1:2","Argentina","Antes",0
"81",0,1,"Franco Soldano",18,"Unión de Santa Fe","Defensa y Justicia v. Unión de Santa Fe 1:3","Argentina","Antes",1
"85",1,0,"Luis Leal",69,"Newell's Old Boys","Newell's Old Boys v. Olimpo de Bahía Blanca 2:0","Argentina","Antes",0
"87",1,0,"Marcos Senesi",75,"San Lorenzo","San Lorenzo v. Arsenal de Sarandí 1:0","Argentina","Antes",0
"88",0,1,"Germán Denis",90,"Lanús","Independiente v. Lanús 0:1","Argentina","Antes",1
"89",NA,NA,NA,90,NA,"Talleres de Córdoba v. Vélez Sarsfield 0:0","Argentina","Antes",0
"90",0,1,"Javier Mendoza",24,"Chacarita Juniors","Atlético Tucumán v. Chacarita Juniors 1:1","Argentina","Antes",1
"92",1,0,"Darío Cvitanich",18,"Banfield","Banfield v. Racing Club 1:0","Argentina","Antes",0
"93",0,1,"Leonel Galeano",12,"Godoy Cruz","Boca Juniors v. Godoy Cruz 4:1","Argentina","Antes",1
"98",0,1,"Rafael Borré",4,"River Plate","San Martín de San Juan v. River Plate 1:3","Argentina","Antes",1
"102",0,1,"Ramón Ábila",30,"Huracán","Gimnasia de La Plata v. Huracán 1:3","Argentina","Antes",1
"106",0,1,"Fernando Zampedri",22,"Rosario Central","Temperley v. Rosario Central 1:1","Argentina","Antes",1
"108",NA,NA,NA,90,NA,"Belgrano de Córdoba v. Tigre 0:0","Argentina","Antes",0
"109",1,0,"Adrián Balboa",9,"Patronato de Paraná","Patronato de Paraná v. Atlético Tucumán 2:1","Argentina","Antes",0
"112",NA,NA,NA,90,NA,"Huracán v. Unión de Santa Fe 0:0","Argentina","Antes",0
"113",0,1,"Ramiro Costa",40,"Temperley","Arsenal de Sarandí v. Temperley 0:1","Argentina","Antes",1
"114",0,1,"Lucas Olaza",56,"Talleres de Córdoba","Chacarita Juniors v. Talleres de Córdoba 0:1","Argentina","Antes",1
"115",0,1,"Darío Benedetto",15,"Boca Juniors","Vélez Sarsfield v. Boca Juniors 0:4","Argentina","Antes",1
"119",1,0,"Santiago García",60,"Godoy Cruz","Godoy Cruz v. Independiente 1:0","Argentina","Antes",0
"120",1,0,"Germán Conti",10,"Colón de Santa Fe","Colón de Santa Fe v. Defensa y Justicia 3:1","Argentina","Antes",0
"124",0,1,"Brahian Alemán",26,"Gimnasia de La Plata","Olimpo de Bahía Blanca v. Gimnasia de La Plata 0:1","Argentina","Antes",1
"125",0,1,"Darío Cvitanich",21,"Banfield","Rosario Central v. Banfield 0:4","Argentina","Antes",1
"129",1,0,"Gonzalo Martínez",18,"River Plate","River Plate v. Argentinos Juniors 1:1","Argentina","Antes",0
"131",NA,NA,NA,90,NA,"Racing Club v. San Martín de San Juan 0:0","Argentina","Antes",0
"132",1,0,"Alejandro Silva",61,"Lanús","Lanús v. Newell's Old Boys 1:0","Argentina","Antes",0
"133",0,1,"Fernando Belluschi",12,"San Lorenzo","Estudiantes v. San Lorenzo 1:3","Argentina","Antes",1
"137",NA,NA,NA,90,NA,"Defensa y Justicia v. Huracán 0:0","Argentina","Antes",0
"138",1,0,"Franco Soldano",46,"Unión de Santa Fe","Unión de Santa Fe v. Olimpo de Bahía Blanca 2:0","Argentina","Antes",0
"140",NA,NA,NA,90,NA,"Atlético Tucumán v. Belgrano de Córdoba 0:0","Argentina","Antes",0
"141",NA,NA,NA,90,NA,"San Lorenzo v. Colón de Santa Fe 0:0","Argentina","Antes",0
"142",0,1,"Juan Otero",2,"Estudiantes","Temperley v. Estudiantes 0:3","Argentina","Antes",1
"145",0,1,"José Sand",2,"Lanús","Gimnasia de La Plata v. Lanús 1:3","Argentina","Antes",1
"149",1,0,"Mauro Quiroga",88,"Argentinos Juniors","Argentinos Juniors v. Racing Club 2:0","Argentina","Antes",0
"151",1,0,"Junior Arias",76,"Talleres de Córdoba","Talleres de Córdoba v. Patronato de Paraná 1:0","Argentina","Antes",0
"152",0,1,"Fernando Zampedri",45,"Rosario Central","San Martín de San Juan v. Rosario Central 3:1","Argentina","Antes",1
"156",1,0,"Maximiliano Meza",51,"Independiente","Independiente v. Vélez Sarsfield 1:0","Argentina","Antes",0
"157",1,0,"Cristian Pavón",3,"Boca Juniors","Boca Juniors v. Chacarita Juniors 1:0","Argentina","Antes",0
"158",0,1,"Ignacio Scocco",10,"River Plate","Tigre v. River Plate 1:1","Argentina","Antes",1
"160",1,0,"Juan Álvarez",12,"Banfield","Banfield v. Arsenal de Sarandí 1:2","Argentina","Antes",0
"163",NA,NA,NA,90,NA,"Newell's Old Boys v. Godoy Cruz 0:0","Argentina","Antes",0
