"","GH","GA","scorer","time","scoring","game","league","covid","cens","start","stop","stratum"
"1",0,1,"Mateus Gonçalves",59,"Cerro Porteño","12 de Octubre de Itauguá v. Cerro Porteño 0:1","Paraguai","Depois",1,0,59,1
"2",0,1,"Mateus Gonçalves",59,"Cerro Porteño","12 de Octubre de Itauguá v. Cerro Porteño 0:1","Paraguai","Depois",0,59,90,2
"3",0,1,"Robert Morales",4,"Cerro Porteño","12 de Octubre de Itauguá v. Cerro Porteño 0:2","Paraguai","Depois",1,0,4,1
"4",0,2,"Robert Morales",42,"Cerro Porteño","12 de Octubre de Itauguá v. Cerro Porteño 0:2","Paraguai","Depois",1,4,42,2
"5",0,2,"Robert Morales",42,"Cerro Porteño","12 de Octubre de Itauguá v. Cerro Porteño 0:2","Paraguai","Depois",0,42,90,3
"6",1,0,"Ariel Núñez",40,"12 de Octubre de Itauguá","12 de Octubre de Itauguá v. Cerro Porteño 2:1","Paraguai","Depois",1,0,40,1
"7",1,1,"Nelson Valdez",55,"Cerro Porteño","12 de Octubre de Itauguá v. Cerro Porteño 2:1","Paraguai","Depois",1,40,55,2
"8",2,1,"Pablo Zeballos",90,"12 de Octubre de Itauguá","12 de Octubre de Itauguá v. Cerro Porteño 2:1","Paraguai","Depois",1,55,90,3
"9",2,1,"Pablo Zeballos",90,"12 de Octubre de Itauguá","12 de Octubre de Itauguá v. Cerro Porteño 2:1","Paraguai","Depois",0,90,90,4
"10",0,1,"Luis Cabral",57,"Club Nacional","12 de Octubre de Itauguá v. Club Nacional 0:2","Paraguai","Antes",1,0,57,1
"11",0,2,"Juan Danilo Santacruz",64,"Club Nacional","12 de Octubre de Itauguá v. Club Nacional 0:2","Paraguai","Antes",1,57,64,2
"12",0,2,"Juan Danilo Santacruz",64,"Club Nacional","12 de Octubre de Itauguá v. Club Nacional 0:2","Paraguai","Antes",0,64,90,3
"13",0,1,"Guillermo Paiva",30,"Club Olimpia","12 de Octubre de Itauguá v. Club Olimpia 0:2","Paraguai","Depois",1,0,30,1
"14",0,2,"Diego Torres",70,"Club Olimpia","12 de Octubre de Itauguá v. Club Olimpia 0:2","Paraguai","Depois",1,30,70,2
"15",0,2,"Diego Torres",70,"Club Olimpia","12 de Octubre de Itauguá v. Club Olimpia 0:2","Paraguai","Depois",0,70,90,3
"16",0,1,"Richard Ortiz",1,"Club Olimpia","12 de Octubre de Itauguá v. Club Olimpia 0:3","Paraguai","Depois",1,0,1,1
"17",0,2,"Hugo Fernández",45,"Club Olimpia","12 de Octubre de Itauguá v. Club Olimpia 0:3","Paraguai","Depois",1,1,45,2
"18",0,3,"Jorge Rojas",50,"Club Olimpia","12 de Octubre de Itauguá v. Club Olimpia 0:3","Paraguai","Depois",1,45,50,3
"19",0,3,"Jorge Rojas",50,"Club Olimpia","12 de Octubre de Itauguá v. Club Olimpia 0:3","Paraguai","Depois",0,50,90,4
"20",0,1,"Alejandro Silva",11,"Club Olimpia","12 de Octubre de Itauguá v. Club Olimpia 1:3","Paraguai","Depois",1,0,11,1
"21",1,1,"Pablo Velázquez",21,"12 de Octubre de Itauguá","12 de Octubre de Itauguá v. Club Olimpia 1:3","Paraguai","Depois",1,11,21,2
"22",1,2,"Derlis González",41,"Club Olimpia","12 de Octubre de Itauguá v. Club Olimpia 1:3","Paraguai","Depois",1,21,41,3
